english,link,domain,chinese,link_cn
China National Nuclear Corporation,http://en.cnnc.com.cn/index.html,cnnc,中国核工业集团有限公司,http://www.cnnc.com.cn/
China Aerospace Science and Technology Corporation,http://english.spacechina.com/n16421/index.html,spacechina,中国航天科技集团有限公司,http://www.spacechina.com/
China Aerospace Science and Industry Corporation Limited,http://www.casic.com/,casic,中国航天科工集团有限公司,http://www.casic.com.cn/
"Aviation Industry Corporation of China, Ltd",http://www.avic.com/en/aboutus/index.shtml,avic,中国航空工业集团有限公司,http://www.avic.com.cn/
China North Industries Group Corporation Limited (Norinco Group),http://en.norincogroup.com.cn/,norincogroup,中国兵器工业集团有限公司,http://www.norincogroup.com.cn/
China South Industries Group Corporation,http://www.csgc.com.cn/english/1280.html,csgc,中国兵器装备集团有限公司,http://www.csgc.com.cn/
China Electronic Technology Group Corporation,http://en.cetc.com.cn/,cetc,中国电子科技集团有限公司,http://www.cetc.com.cn/
Aero Engine Corporation of China,http://www.aecc.cn/,aecc,中国航空发动机集团有限公司,http://www.aecc.cn/
China National Petroleum Corporation,http://www.cnpc.com.cn/en/,cnpc,中国石油天然气集团有限公司,http://www.cnpc.com.cn/
China Petrochemical Corporation,http://www.sinopecgroup.com/group/en/,sinopecgroup,中国石油化工集团有限公司,http://www.sinopecgroup.com/
China National Offshore Oil Corporation,http://www.cnooc.com.cn/col/col6141/index.html,cnooc,中国海洋石油集团有限公司,http://www.cnooc.com.cn/
State Grid Corporation of China,http://www.sgcc.com.cn/ywlm/index.shtml,sgcc,国家电网有限公司,http://www.sgcc.com.cn/
China Southern Power Grid,http://eng.csg.cn/h5.html,csg,中国南方电网有限责任公司,http://www.csg.cn/
China Huaneng Group,http://www.chng.com.cn/eng/,chng,中国华能集团有限公司,http://www.chng.com.cn/
China Datang Corporation,http://en.china-cdt.com/dtwzen_site_HTML/index.html,china-cdt,中国大唐集团有限公司,http://www.china-cdt.com/
China Huadian Corporation Ltd,http://eng.chd.com.cn/,chd,中国华电集团有限公司,http://www.chd.com.cn/
State Power Investment Corporation Limited,http://eng.spic.com.cn/,spic,国家电力投资集团有限公司,http://www.spic.com.cn/
China Three Gorges Corporation,http://www.ctg.com.cn/english/index.html,ctg,中国长江三峡集团有限公司,http://www.ctg.com.cn/
China Energy Corporation,http://www.cgdc.com.cn/,ceic,国家能源投资集团有限责任公司,http://www.ceic.com
China Telecommunications Corporation,http://www.chinatelecomglobal.com/,chinatelecom,中国电信集团有限公司,http://www.chinatelecom.com.cn/
China United Network Communications Group Co,http://www.chinaunicom.com.cn/,chinaunicom,中国联合网络通信集团有限公司,http://www.chinaunicom.com.cn/
China Mobile Communications Group Co Ltd,http://www.chinamobileltd.com/en/global/home.php,10086,中国移动通信集团有限公司,http://www.10086.cn/
China Electronics Corporation,http://www.cec.com.cn/,cec,中国电子信息产业集团有限公司,http://www.cec.com.cn/
China FAW Group Co Ltd,http://www.faw.com/,faw,中国第一汽车集团有限公司,http://www.faw.com.cn/
Dongfeng Motor Corporation,http://www.dfmc.com.cn/dfmczg/main_en.aspx,dfmc,东风汽车集团有限公司,http://www.dfmc.com.cn/
China First Heavy Industries,http://www.cfhi.com/en/index.html,cfhi,中国一重集团有限公司,http://www.cfhi.com/
China National Machinery Industry Corporation Ltd,http://www.sinomach.com.cn/en/,sinomach,中国机械工业集团有限公司,http://www.sinomach.com.cn/
Harbin Electric Corporation,http://en.harbin-electric.com/,harbin-electric,哈尔滨电气集团有限公司,http://www.harbin-electric.com/
Dongfang Electric Corporation,http://www.dongfang.com.cn/,dongfang,中国东方电气集团有限公司,http://www.dongfang.com/
Ansteel Group,http://en.ansteel.cn/,ansteel,鞍钢集团有限公司,http://www.ansteel.cn/
China Baowu Steel Group Corporation,http://www.baowugroup.com/en/,baowugroup,中国宝武钢铁集团有限公司,http://www.baowugroup.com/
Aluminum Corporation of China,http://www.chinalco.com.cn/zglyen/index.htm,chinalco,中国铝业集团有限公司,http://www.chinalco.com.cn/zgly/index.htm
China COSCO Shipping Corporation Limited,http://en.coscoshipping.com/,coscoshipping,中国远洋海运集团有限公司,http://www.coscoshipping.com
China National Aviation Holding Company,http://www.airchinagroup.com/en/index.shtml,airchinagroup,中国航空集团有限公司,http://www.airchinagroup.com/
China Eastern Air Holding Company,http://www.ceair.com/,ceair,中国东方航空集团有限公司,http://www.ceair.com/
China Southern Air Holding Company,http://www.csair.cn/csapen/index.html,csair,中国南方航空集团有限公司,http://www.csair.cn/
Sinochem Group,http://english.sinochem.com/,sinochem,中国中化集团有限公司,http://www.sinochem.com/
"China National Cereals, Oils & Foodstuffs Corporation",http://www.cofco.com/en/,cofco,中粮集团有限公司,http://www.cofco.com
China Minmetals Corporation,http://www.minmetals.com/english/,minmetals,中国五矿集团有限公司,http://www.minmetals.com.cn/
"China General Technology (Group) Holding Co, Ltd",https://www.genertec.com.cn/default.aspx,genertec,中国通用技术（集团）控股有限责任公司,http://www.genertec.com.cn/
China State Construction Engineering Corporation,http://english.cscec.com/,cscec,中国建筑集团有限公司,http://www.cscec.com/
China Grain Reserve Corp,http://www.sinograin.com.cn/,sinograin,中国储备粮管理集团有限公司,http://www.sinograin.com.cn/
State Development & Investment Corp Ltd,https://www.sdic.com.cn/en/index.htm,sdic,国家开发投资集团有限公司,http://www.sdic.com.cn/
China Merchants Group,http://www.cmhk.com/en/,cmhk,招商局集团有限公司,http://www.cmhk.com/
China Resources (Holdings) Co Ltd,http://en.crc.com.cn/,crc,华润（集团）有限公司,http://www.crc.com.hk/
China National Travel Service (HK) Group Corporation,http://ctsmag.hkcts.com/en/index.htm,hkcts,中国旅游集团有限公司[香港中旅（集团）有限公司],http://www.hkcts.com/
"Commercial Aircraft Corporation of China, Ltd",http://english.comac.cc/,comac,中国商用飞机有限责任公司,http://www.comac.cc/
China Energy Conservation and Environmental Protection Group,http://www.cecic.com.cn/,cecep,中国节能环保集团有限公司,http://www.cecep.cn
China International Engineering Consulting Corporation,http://english.ciecc.com.cn/,ciecc,中国国际工程咨询有限公司,http://www.ciecc.com.cn/
China Chengtong Holdings Group Co Ltd,http://www.cctgroup.com.cn/cctgroupen/index/index.html,cctgroup,中国诚通控股集团有限公司,http://www.cctgroup.com.cn/
China National Coal Group Corporation,http://www.chinacoal.com/n43138/index.html,chinacoal,中国中煤能源集团有限公司,http://www.chinacoal.com/
China Coal Technology & Engineering Group,http://en.ccteg.cn/,ccteg,中国煤炭科工集团有限公司,http://www.ccteg.cn/
China Academy of Machinery Science and Technology Group Co Ltd,http://www.cam.com.cn/en/index_en.aspx,cam,机械科学研究总院集团有限公司,http://www.cam.com.cn/
Sinosteel Corporation,http://en.sinosteel.com/,sinosteel,中国中钢集团有限公司,http://www.sinosteel.com/
China Iron & Steel Research Institute Group,http://www.cisri.com.cn/english/tabid/520/language/zh-CN/Default.aspx,cisri,中国钢研科技集团有限公司,http://www.cisri.com.cn/
China National Chemical Corporation,http://www.chemchina.com.cn/en/index.htm,chemchina,中国化工集团有限公司,http://www.chemchina.com.cn/
China National Chemical Engineering Group Corporation,http://www.cncec.cn/html/Home/index.html,cncec,中国化学工程集团有限公司,http://www.cncec.cn/
China National Salt Industry Corporation,http://www.chinasalt.com.cn/english/,chinasalt,中国盐业集团有限公司,http://www.chinasalt.com.cn/
China National Building Materials Group Co Ltd,http://www.cnbm.com.cn/EN/,cnbm,中国建材集团有限公司,http://www.cnbm.com.cn
China Nonferrous Metal Mining (Group) Co Ltd,http://www.cnmc.com.cn/indexen.jsp,cnmc,中国有色矿业集团有限公司,http://www.cnmc.com.cn/
General Research Institute for Nonferrous Metals Group Co Ltd,http://www.grinm.com/Default.aspx?alias=www.grinm.com/english,grinm,有研科技集团有限公司,http://www.grinm.com/
BGRIMM Technology Group,http://english.bgrimm.com,bgrimm,矿冶科技集团有限公司,http://www.bgrimm.com/
China International Intellectech Co,http://www.ciic.com.cn/,ciic,中国国际技术智力合作集团有限公司,http://www.ciic.com.cn/
China Academy of Building Research,http://www.cabr.com.cn/engweb/index.htm,cabr,中国建筑科学研究院有限公司,http://www.cabr.com.cn/
CRRC Corporation Limited,http://www.crrcgc.cc/en,crrcgc,中国中车集团有限公司,http://www.crrcgc.cc/
China Railway Signal & Communication (Group) Corporation Limited,http://www.crsc.cn/g3151.aspx,crsc,中国铁路通信信号集团有限公司,http://www.crsc.cn/
China Railway Group Limited,http://www.crecg.com/english/index.html,crecg,中国铁路工程集团有限公司,http://www.crecg.com/
China Railway Construction Corporation Limited,http://english.crcc.cn/,crcc,中国铁道建筑集团有限公司,http://www.crcc.cn/
China Communications Construction Company Limited,http://en.ccccltd.cn/,ccccltd,中国交通建设集团有限公司,http://www.ccccltd.cn/
Potevio Company Limited,http://www.potevio.com/en/tabid/279/language/zh-CN/Default.aspx,potevio,中国普天信息产业集团有限公司,http://www.potevio.com/
China Information and Communication Technologies Group Corporation (CICT),2018/07/19/c_187.htm,cict,中国信息通信科技集团有限公司,http://www.cict.com/
China National Agricultural Development Group Co Ltd,http://www.cnadc.com.cn/index.php?m=content&c=index&a=lists&catid=85,cnadc,中国农业发展集团有限公司,http://www.cnadc.com.cn/
China Silk Corporation,http://www.chinasilk.com/,chinasilk,,
China Forestry Group Corporation,http://en.cfgc.cn/,cfgc,中国林业集团有限公司,http://www.cfgc.cn/
Sinopharm Group,http://www.sinopharm.com/1156.html,sinopharm,中国医药集团有限公司,http://www.sinopharm.com/
China Poly Group Corporation,http://www.poly.com.cn/,poly,中国保利集团有限公司,http://www.poly.com.cn/
China Construction Technology Consulting Co Ltd,http://en.cadreg.com/index.asp,cadreg,中国建设科技有限公司,http://www.cadreg.com.cn/
China Metallurgical Geology Bureau,http://www.cmgb.com.cn/ens/,cmgb,中国冶金地质总局,http://www.cmgb.com.cn/
China National Administration of Coal Geology,http://www.ccgc.cn/col/col522/index.html,ccgc,中国煤炭地质总局,http://www.ccgc.cn/
Xinxing Cathay International Group Co Ltd,http://english.xxcig.com/,xxcig,新兴际华集团有限公司,http://www.xxcig.com/
China TravelSky Holding Company,http://www.travelsky.net/publish/english/index.html,travelsky,中国民航信息集团有限公司,http://www.travelsky.cn
China National Aviation Fuel Group Limited,https://www.cnaf.com/english.html,cnaf,中国航空油料集团有限公司,http://www.cnaf.com/
China Aviation Supplies Holding Company,http://www.casc.com.cn/cas/en/,casc,中国航空器材集团有限公司,http://www.casc.com.cn/
Power Construction Corporation of China,http://en.powerchina.cn/,powerchina,中国电力建设集团有限公司,http://www.powerchina.cn
China Energy Engineering Group Co Ltd,http://en.ceec.net.cn/,net,中国能源建设集团有限公司,http://www.ceec.net.cn/
China National Gold Group Co Ltd,http://www.chinagoldgroup.com/eng/index.html,chinagoldgroup,中国黄金集团有限公司,http://www.chinagoldgroup.com/
China General Nuclear Power Corporation,http://www.cgnpc.com.cn/,cgnpc,中国广核集团有限公司,http://www.cgnpc.com.cn/
China Hualu Group Co Ltd,http://www.hualu.com.cn/en/,hualu,中国华录集团有限公司,http://www.hualu.com.cn/
Nokia Bell Co Ltd,https://networks.nokia.com/,nokia,,
Overseas Chinese City Group,http://www.chinaoct.com/,chinaoct,华侨城集团有限公司,http://www.chinaoct.com/
Nam Kwong (Group) Company Limited,http://www.namkwong.com.mo/en/,namkwong,南光（集团）有限公司[中国南光集团有限公司],http://www.namkwong.com.mo/
China XD Group,http://www.xd.com.cn/structure/eng/index.htm,xd,中国西电集团有限公司,http://www.xd.com.cn/
China Railway Materials Company Limited,https://www.crmsc.com.cn/crmscnewEn/index.asp,crmsc,中国铁路物资集团有限公司,http://www.crmsc.com.cn/
China Reform Holdings Corporation Ltd,http://www.crhc.cn/,crhc,中国国新控股有限责任公司,http://www.crhc.cn/
China State Shipbuilding Co Ltd,,csic,中国船舶集团有限公司,http://www.csic.com.cn/index.html
,,,中国融通资产管理集团有限公司,
,,,中国安能建设集团有限公司,
China Oil & Gas Pipeline Network Corporation(PipeChina),,pipechina,国家石油天然气管网集团有限公司,http://www.pipechina.com.cn/
China Certification & Inspection Group (CCIC),,ccic,中国检验认证（集团）有限公司,http://www.ccic.com/